"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"307","RT @VaccinesToday: Six times more likely to have a heart attack in the week after flu diagnosis
 https://t.co/XEtfw4vxjr
#flu
#vaccineswork…",FALSE,0,NA,2019-03-02 16:23:33,FALSE,NA,"1101880731679313931",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roblwilson",61,TRUE,FALSE,NA,NA
"308","@ashokgehlot51 When will u start human raksha sammelan from swine flu? People are dropping like flies in Rajasthan",FALSE,0,"ashokgehlot51",2019-03-02 16:23:28,FALSE,"1101736691163979778","1101880713614254080","385926583","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LiquidComforts",0,FALSE,FALSE,NA,NA
"309","RT @TheVampsBrad: Had flu for the past week and I’m about two breaking bads away from completing Netflix.",FALSE,0,NA,2019-03-02 16:23:26,FALSE,NA,"1101880703594233856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","krishnagatica2",815,TRUE,FALSE,NA,NA
"310","@ESPNagora O maior clássico do futebol é o Fla x Flu",FALSE,0,"ESPNagora",2019-03-02 16:23:26,FALSE,"1101879276562014208","1101880702398799873","51124892","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TatianaGalieta",0,FALSE,FALSE,NA,NA
"311","RT @MackayIM: Studies of Deadly #Flu Virus, Once Banned, Are Set to Resume 
https://t.co/4pvUAUoLIK",FALSE,0,NA,2019-03-02 16:23:24,FALSE,NA,"1101880693783580678",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AdriMarquezE",5,TRUE,FALSE,NA,NA
"312","I've never found an effective cough medicine.  I never buy them anymore,  I'll stick with hot toddy's #flu #colds… https://t.co/iF7V0xB43W",FALSE,0,NA,2019-03-02 16:23:16,TRUE,NA,"1101880661865054209",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","brewsandbats",0,FALSE,FALSE,NA,NA
"313","@D_Demet__Sfrnbl @Madran_22 @pajivyon @redeyeFreya @jasmin14_20 @jupicimm @BVarol55 @TCahmt61 @Pepito2qope… https://t.co/TzC7vL4iJQ",FALSE,4,"D_Demet__Sfrnbl",2019-03-02 16:23:15,TRUE,"1101880402292232194","1101880659990249482","1013167841971965954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","svnsrp",0,FALSE,FALSE,NA,NA
"314","@acemindbreaker It's a subcontext: no flu shot.",FALSE,0,"acemindbreaker",2019-03-02 16:23:15,FALSE,"1101760140393529345","1101880656890478592","1076122562516738048","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Frances_Larina",0,FALSE,FALSE,NA,NA
"315","@pajivyon @Madran_22 @D_Demet__Sfrnbl @redeyeFreya @jasmin14_20 @jupicimm @TCahmt61 @Pepito2qope @egoist_grzm… https://t.co/xd9LbTO7An",FALSE,6,"pajivyon",2019-03-02 16:23:14,TRUE,"1101880549839462406","1101880655049297920","1010471508702121986","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BVarol55",0,FALSE,FALSE,NA,NA
"316","RT @liberta__depre: O Grêmio tem a melhor defesa entre os 20 times da 1º divisão do Futebol BR:
Grêmio: 1 gol / 8 JG
Goiás: 3 gols/ 10 JG
C…",FALSE,0,NA,2019-03-02 16:23:14,FALSE,NA,"1101880653178699781",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Thiaguinho1003",43,TRUE,FALSE,NA,NA
"317","Pretty sure they just swabbed my brain for the flu instead of my nostril 🙃",FALSE,1,NA,2019-03-02 16:23:10,FALSE,NA,"1101880638628605952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ericafayy",0,FALSE,FALSE,NA,NA
"318","In line with the zeitgeist of 2019, I’m pretty sure that at the exact moment I took this gorgeous picture of the wo… https://t.co/XGUhPjQZRl",FALSE,0,NA,2019-03-02 16:23:08,TRUE,NA,"1101880628985905152",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_BrunoSevilla_",0,FALSE,FALSE,NA,NA
"319","@D_Demet__Sfrnbl @Madran_22 @redeyeFreya @jasmin14_20 @jupicimm @BVarol55 @TCahmt61 @Pepito2qope @egoist_grzm… https://t.co/4MbVOLXJZU",FALSE,3,"D_Demet__Sfrnbl",2019-03-02 16:23:00,TRUE,"1101879384460455936","1101880596576587777","1013167841971965954","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pajivyon",0,FALSE,FALSE,NA,NA
"320","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:22:55,FALSE,NA,"1101880573197471744",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Woootttttt",8243,TRUE,FALSE,NA,NA
"321","RT @kayyythemodel: The Flu, The Pregnant, The Stupid. Keep that shit  away from me",FALSE,0,NA,2019-03-02 16:22:54,FALSE,NA,"1101880569703661579",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dajaahgabriel",8243,TRUE,FALSE,NA,NA
